,type,gender_guessed,Height,Width,is_flat,age,years_selling,Uniqueness,is_signed,gallery,price_numeric,painting,description_present,location,image_path
4699,Unique work,unknown,51.0,38.5,Not flat,8.0,4.0,Unique,signed,gallery,5400.0,acrylic,Present,United States,images_thesis\1072044_1_m.jpg
4700,Unique work,male,15.7,27.6,Not flat,11.0,9.0,Unique,signed,gallery,4858.0,oil,No description,France,images_thesis\937341_1_m.jpg
4701,Unique work,unknown,23.6,28.7,Not flat,9.0,7.0,Unique,signed,gallery,3644.0,oil,No description,France,images_thesis\820677_1_m.jpg
4702,Unique work,male,17.7,25.6,Not flat,124.0,6.0,Unique,signed,gallery,1707.0,oil,Present,other,images_thesis\800496_1_m.jpg
4703,Unique work,male,19.5,27.6,Not flat,119.0,6.0,Unique,signed,gallery,1865.0,oil,Present,other,images_thesis\794481_1_m.jpg
4704,Unique work,unknown,31.5,31.5,Not flat,7.0,5.0,Unique,signed,gallery,2186.0,other,Present,France,images_thesis\785250_1_m.jpg
4705,Unique work,male,12.2,6.7,Not flat,86.0,6.0,Unique,signed,gallery,1549.0,oil,Present,other,images_thesis\664884_1_m.jpg
4706,Unique work,unknown,18.0,14.0,Not flat,7.0,6.0,Unique,signed,gallery,1200.0,other,Present,United States,images_thesis\511745_1_m.jpg
4707,Unique work,female,27.6,19.7,Flat,6.0,8.0,Unique,signed,gallery,1093.0,acrylic,No description,France,images_thesis\497186_1_m.jpg
4708,Unique work,male,39.4,39.4,Not flat,4.0,2.0,Unique,signed,gallery,8744.0,acrylic,Present,France,images_thesis\2332722_1_m.jpg
4709,Unique work,male,63.0,55.1,Not flat,0.0,12.0,Unique,signed,gallery,44941.0,other,No description,France,images_thesis\2322479_1_m.jpg
4710,Unique work,male,12.2,12.2,Not flat,15.0,1.0,Unique,signed,gallery,279.0,oil,Present,Ukraine,images_thesis\2315610_1_m.jpg
4711,Unique work,female,82.7,39.4,Not flat,1.0,1.0,Unique,signed,gallery,7000.0,other,Present,United States,images_thesis\2314956_1_m.jpg
4712,Unique work,female,31.5,23.6,Not flat,1.0,4.0,Unique,signed,gallery,10567.0,oil,No description,Spain,images_thesis\2314545_1_m.jpg
4713,Unique work,female,39.4,31.5,Not flat,1.0,4.0,Unique,signed,gallery,5101.0,other,No description,Spain,images_thesis\2312295_1_m.jpg
4714,Unique work,male,23.6,31.5,Not flat,0.0,4.0,Unique,signed,gallery,5466.0,acrylic,No description,Spain,images_thesis\2309463_1_m.jpg
4715,Unique work,female,28.7,40.6,Not flat,5.0,4.0,Unique,signed,gallery,4494.0,acrylic,No description,Spain,images_thesis\2301835_1_m.jpg
4716,Unique work,male,35.4,25.6,Not flat,1.0,4.0,Unique,signed,gallery,3644.0,acrylic,No description,Spain,images_thesis\2301762_1_m.jpg
4717,Unique work,female,55.1,43.3,Not flat,2.0,4.0,Unique,signed,gallery,4919.0,acrylic,No description,Spain,images_thesis\2301528_1_m.jpg
4718,Unique work,female,20.0,16.0,Not flat,1.0,4.0,Unique,signed,gallery,5648.0,acrylic,No description,Spain,images_thesis\2301488_1_m.jpg
4719,Unique work,female,27.6,39.4,Not flat,1.0,4.0,Unique,signed,gallery,5769.0,other,No description,Spain,images_thesis\2301461_1_m.jpg
4720,Unique work,female,31.5,27.6,Not flat,4.0,4.0,Unique,signed,gallery,6012.0,oil,No description,Spain,images_thesis\2298257_1_m.jpg
4721,Unique work,unknown,35.4,47.2,Not flat,1.0,4.0,Unique,signed,gallery,3705.0,other,No description,Spain,images_thesis\2297660_1_m.jpg
4722,Unique work,unknown,31.5,23.6,Not flat,1.0,9.0,Unique,signed,gallery,5830.0,acrylic,Present,France,images_thesis\2292666_1_m.jpg
4723,Unique work,unknown,17.3,50.4,Not flat,1.0,4.0,Unique,signed,gallery,4858.0,acrylic,No description,Spain,images_thesis\2292663_1_m.jpg
4724,Unique work,female,15.7,15.7,Not flat,1.0,4.0,Unique,signed,gallery,5587.0,acrylic,No description,Spain,images_thesis\2292335_1_m.jpg
4725,Unique work,unknown,15.9,19.1,Not flat,1.0,4.0,Unique,signed,gallery,3462.0,other,No description,Spain,images_thesis\2290090_1_m.jpg
4726,Unique work,unknown,39.4,39.4,Not flat,1.0,4.0,Unique,signed,gallery,6012.0,other,No description,Spain,images_thesis\2289645_1_m.jpg
4727,Unique work,unknown,23.6,11.8,Not flat,1.0,4.0,Unique,signed,gallery,3644.0,other,No description,Spain,images_thesis\2286910_1_m.jpg
4728,Unique work,male,12.0,12.0,Not flat,1.0,3.0,Unique,signed,gallery,500.0,acrylic,No description,United States,images_thesis\2278322_1_m.jpg
4729,Unique work,female,19.7,19.7,Not flat,3.0,1.0,Unique,signed,gallery,1000.0,oil,Present,United States,images_thesis\2268720_1_m.jpg
4730,Unique work,female,35.4,27.6,Not flat,3.0,1.0,Unique,signed,gallery,900.0,acrylic,Present,United States,images_thesis\2265756_1_m.jpg
4731,Unique work,female,19.7,19.7,Not flat,1.0,1.0,Unique,signed,gallery,1300.0,other,Present,United States,images_thesis\2263730_1_m.jpg
4732,Unique work,male,50.4,27.2,Not flat,52.0,6.0,Unique,signed,gallery,2363.0,oil,Present,other,images_thesis\2260249_1_m.jpg
4733,Unique work,female,19.7,55.1,Not flat,5.0,1.0,Unique,signed,gallery,1950.0,oil,Present,United States,images_thesis\2254400_1_m.jpg
4734,Unique work,male,25.6,19.7,Not flat,65.0,10.0,Unique,signed,gallery,12146.0,other,Present,France,images_thesis\2249667_1_m.jpg
4735,Unique work,female,55.0,45.0,Not flat,3.0,3.0,Unique,signed,gallery,5175.0,oil,Present,United States,images_thesis\2225953_1_m.jpg
4736,Unique work,unknown,28.0,24.0,Not flat,1.0,3.0,Unique,signed,gallery,1850.0,other,Present,other,images_thesis\2212311_1_m.jpg
4737,Unique work,unknown,24.0,18.0,Not flat,2.0,3.0,Unique,signed,gallery,2750.0,other,Present,other,images_thesis\2205738_1_m.jpg
4738,Unique work,unknown,30.0,30.0,Not flat,2.0,3.0,Unique,signed,gallery,1499.0,oil,Present,other,images_thesis\2201218_1_m.jpg
4739,Unique work,male,23.6,23.6,Not flat,3.0,11.0,Unique,signed,gallery,1883.0,other,No description,other,images_thesis\2198749_1_m.jpg
4740,Unique work,male,48.0,48.0,Not flat,2.0,3.0,Unique,signed,gallery,5000.0,other,Present,other,images_thesis\2153376_1_m.jpg
4741,Unique work,female,27.6,27.2,Not flat,14.0,2.0,Unique,signed,independent,2186.0,acrylic,Present,other,images_thesis\2149610_1_m.jpg
4742,Unique work,female,30.3,23.6,Not flat,3.0,10.0,Unique,signed,gallery,1678.0,other,Present,other,images_thesis\2147996_1_m.jpg
4743,Unique work,unknown,36.0,30.0,Not flat,3.0,3.0,Unique,signed,gallery,1350.0,acrylic,Present,other,images_thesis\2147068_1_m.jpg
4744,Unique work,unknown,31.9,25.6,Not flat,2.0,4.0,Unique,signed,gallery,2428.0,other,No description,France,images_thesis\2141037_1_m.jpg
4745,Unique work,male,47.2,47.2,Not flat,2.0,5.0,Unique,signed,gallery,4555.0,other,No description,France,images_thesis\2138847_1_m.jpg
